pair,leg1,leg2,direction,entry_date,exit_date,hedge,qty1,qty2,entry_price1,entry_price2,exit_price1,exit_price2,entry_z,exit_z,exit_reason,gross_pnl,costs,net_pnl,holding_bars
SOLUSDT-ADAUSDT,SOLUSDT,ADAUSDT,-1,2024-06-27 08:00:00+00:00,2024-06-27 12:00:00+00:00,1.271714778044926,-14.529014174590449,7839.359587011833,139.05,0.3801,147.77,0.3862,2.575268004871361,4.458218539086346,stop_divergence,-78.87291012165656,10.1745130970832,-89.04742321873977,1
WLDUSDT-1000SATSUSDT,WLDUSDT,1000SATSUSDT,1,2024-06-27 08:00:00+00:00,2024-06-27 16:00:00+00:00,0.8066519625973891,1124.4404878482148,-9549168.567220105,2.783,0.0001959,2.79,0.0001992,-4.103160503615726,-4.062023055872379,stop_divergence,-23.641172856888698,10.039383339686765,-33.68055619657546,2
JUPUSDT-VETUSDT,JUPUSDT,VETUSDT,-1,2024-06-27 12:00:00+00:00,2024-06-28 16:00:00+00:00,1.2707957924807527,-2003.9622502619425,124830.20422856211,0.8599,0.02625,0.7997,0.02648,4.38363475788249,0.32798052066448685,target,149.3494744383384,9.908072419506802,139.4414020188316,7
RUNEUSDT-ETCUSDT,RUNEUSDT,ETCUSDT,1,2024-06-26 16:00:00+00:00,2024-07-01 00:00:00+00:00,1.6045596141095075,370.19723247197464,-145.51143537653212,4.116,23.89,4.246,23.84,-2.0577275584120387,-0.4745549995095146,target,55.401211990183704,10.040850068452531,45.360361921731176,26
ETHFIUSDT-ETCUSDT,ETHFIUSDT,ETCUSDT,1,2024-06-26 16:00:00+00:00,2024-07-01 04:00:00+00:00,1.3537460832073918,453.08324192518484,-147.69299414930933,3.248,23.89,3.124,23.86,-2.0119720622686867,-2.253057911563639,screen_failed,-51.75153217424352,9.939386888176799,-61.69091906242032,27
LINKUSDT-BOMEUSDT,LINKUSDT,BOMEUSDT,1,2024-06-27 12:00:00+00:00,2024-07-01 04:00:00+00:00,0.5761848149947251,266.1240816224981,-119885.44795793413,14.091,0.010427,14.386,0.01001,-3.245663880950779,-1.1013954139352937,screen_failed,128.49883587709553,10.028514372280178,118.47032150481535,22
ALGOUSDT-ICPUSDT,ALGOUSDT,ICPUSDT,-1,2024-06-27 12:00:00+00:00,2024-07-01 04:00:00+00:00,0.7991085129548323,-20303.0878878973,256.2477494033014,0.1428,8.198,0.148,8.303,2.112406269853582,2.6658452380671,screen_failed,-78.67004332971885,10.132482070704413,-88.80252540042326,22
WLDUSDT-1000SATSUSDT,WLDUSDT,1000SATSUSDT,1,2024-06-28 16:00:00+00:00,2024-07-01 04:00:00+00:00,0.8066519625973891,1139.0724561726709,-9757340.865498127,2.744,0.0001921,2.359,0.0001883,-3.027135806532963,-3.6961101791891053,screen_failed,-401.46500033758554,9.524379209084628,-410.9893795466702,15
TAOUSDT-VETUSDT,TAOUSDT,VETUSDT,1,2024-06-28 20:00:00+00:00,2024-07-01 04:00:00+00:00,1.2597100414121003,6.755787355536385,-119653.78649083285,268.1,0.02665,278.3,0.02712,-2.5551764231732124,-1.546345358218088,screen_failed,12.671751375779834,10.125146310677163,2.5466050651026713,14
OPUSDT-VETUSDT,OPUSDT,VETUSDT,1,2024-06-28 20:00:00+00:00,2024-07-01 04:00:00+00:00,1.074599192244118,1245.3223090954302,-105841.87463726068,1.75,0.02665,1.831,0.02712,-2.5574436741989075,-1.1842552776489208,screen_failed,51.125425957217466,10.150616788116242,40.97480916910122,14
HBARUSDT-ETHFIUSDT,HBARUSDT,ETHFIUSDT,-1,2024-06-30 00:00:00+00:00,2024-07-01 04:00:00+00:00,0.7397393379239495,-42006.50499815189,619.3406961596476,0.0758,2.932,0.0771,3.124,2.3186094417848855,0.9731639736905402,screen_failed,64.30495716505516,10.17352187016025,54.13143529489491,7
SOLUSDT-ADAUSDT,SOLUSDT,ADAUSDT,-1,2024-06-30 12:00:00+00:00,2024-07-01 04:00:00+00:00,1.271714778044926,-13.123670727322358,8050.756438927123,143.83,0.3866,148.3,0.3981,2.34668641825917,1.9300948018183988,screen_failed,33.92089089653107,10.151246507198794,23.769644389332278,4
ARBUSDT-ALGOUSDT,ARBUSDT,ALGOUSDT,1,2024-06-30 16:00:00+00:00,2024-07-01 04:00:00+00:00,1.0975087246884598,3063.361750168323,-18015.60648157258,0.7918,0.1429,0.807,0.148,-2.3622105909795157,-3.0973860333228047,screen_failed,-45.31649445346122,10.138442691658579,-55.45493714511979,3
HBARUSDT-RUNEUSDT,HBARUSDT,RUNEUSDT,1,2024-07-01 00:00:00+00:00,2024-07-01 04:00:00+00:00,0.6338293007848278,43260.00239641074,-393.0710823072004,0.077,4.246,0.0771,4.193,-2.0616780157648393,-1.5299360809823572,screen_failed,25.158767601923145,9.98349323287736,15.175274369045786,1
DOGEUSDT-ADAUSDT,DOGEUSDT,ADAUSDT,1,2024-07-01 12:00:00+00:00,2024-07-02 08:00:00+00:00,1.5075501278770813,15651.289108869276,-7553.832025630294,0.12472,0.4035,0.12414,0.4156,-2.3972236278682444,-4.007328963992693,stop_divergence,-100.4791151932707,10.082323619826983,-110.56143881309768,5
RUNEUSDT-ARKMUSDT,RUNEUSDT,ARKMUSDT,-1,2024-07-01 20:00:00+00:00,2024-07-03 12:00:00+00:00,1.045309778505321,-689.7868334031738,1375.8901954644161,4.117,1.57,3.947,1.661,2.018586951723649,0.42182037748209894,target,242.46976946580133,10.007942246108723,232.46182721969262,10
JUPUSDT-VETUSDT,JUPUSDT,VETUSDT,-1,2024-07-02 00:00:00+00:00,2024-07-04 04:00:00+00:00,1.2442362152736608,-2010.7545903184348,122205.16522950173,0.8627,0.02672,0.7933,0.02369,2.7146248267169546,4.197418641637566,stop_divergence,-230.735282077291,9.49017198078651,-240.2254540580775,13
ETHUSDT-XRPUSDT,ETHUSDT,XRPUSDT,1,2024-07-03 04:00:00+00:00,2024-07-04 16:00:00+00:00,1.0812092855139281,0.5991734203099885,-6197.329315178902,3352.2,0.4827,3133.82,0.4409,-2.4047632564682973,-0.4179816973962154,target,128.20087384718303,9.610104143098226,118.5907697040848,9
DOGEUSDT-ADAUSDT,DOGEUSDT,ADAUSDT,1,2024-07-03 08:00:00+00:00,2024-07-05 00:00:00+00:00,1.5075501278770813,15850.257709983573,-7624.843768665504,0.11923,0.4079,0.09416,0.324,-3.5622057712617576,0.21282522502556112,target,242.35843140174728,8.962909647019677,233.3955217547276,10
OPUSDT-ETCUSDT,OPUSDT,ETCUSDT,1,2024-07-03 16:00:00+00:00,2024-07-06 00:00:00+00:00,1.3729274851345474,998.383378670081,-150.76508454237506,1.627,22.39,1.333,20.47,-2.0508197547351346,-4.238464824829131,stop_divergence,-4.055751007643494,9.417006324349636,-13.47275733199313,14
NEARUSDT-ARKMUSDT,NEARUSDT,ARKMUSDT,-1,2024-07-01 08:00:00+00:00,2024-07-06 04:00:00+00:00,0.9662171615654725,-535.5718187258967,1308.3997235187942,5.278,1.661,4.513,1.437,2.0295335266130774,1.259413826244556,screen_failed,116.63090325710095,9.29720602060648,107.33369723649447,29
LINKUSDT-ETCUSDT,LINKUSDT,ETCUSDT,-1,2024-07-01 16:00:00+00:00,2024-07-06 04:00:00+00:00,1.1121423050494486,-135.41578299166554,129.39593411389714,14.468,23.5,12.495,20.7,2.393955971577877,1.2533082748173536,screen_failed,-95.13327567635588,9.370516044638531,-104.50379172099441,27
JUPUSDT-VETUSDT,JUPUSDT,VETUSDT,-1,2024-07-05 04:00:00+00:00,2024-07-06 04:00:00+00:00,1.2442362152736608,-2537.312478524186,152508.75561618592,0.6777,0.02151,0.755,0.02363,2.4905854671016248,2.0815280414890465,screen_failed,127.1843073163945,10.519452816496234,116.66485449989825,6
1000SATSUSDT-ARUSDT,1000SATSUSDT,ARUSDT,1,2024-07-05 12:00:00+00:00,2024-07-06 04:00:00+00:00,1.23139926565462,15915161.535024753,-135.1518093034151,0.000122,22.629,0.0001237,22.628,-2.385556923675102,-2.0754657506897525,screen_failed,27.19092641884567,10.026920622800239,17.16400579604543,4
OPUSDT-CAKEUSDT,OPUSDT,CAKEUSDT,1,2024-07-06 08:00:00+00:00,2024-07-07 00:00:00+00:00,1.0522012218118633,1866.7754660205899,-1349.8538365927682,1.366,1.815,1.472,1.826,-2.598823985050933,-0.16275938152336594,target,183.02980719566168,10.212726591600703,172.81708060406098,4
NOTUSDT-CAKEUSDT,NOTUSDT,CAKEUSDT,-1,2024-07-07 00:00:00+00:00,2024-07-07 08:00:00+00:00,1.3363686964401247,-95680.68559650356,1943.855863284231,0.01516,1.826,0.01615,1.802,3.6169237858905996,4.374242167048589,stop_divergence,-141.37641945936025,10.048071338021717,-151.42449079738196,2
SOLUSDT-DOTUSDT,SOLUSDT,DOTUSDT,1,2024-07-07 04:00:00+00:00,2024-07-08 16:00:00+00:00,1.090940254998808,19.293006967969223,-372.8529954651795,139.09,6.213,138.29,5.959,-2.2278466501061582,-0.3078805214435324,target,79.27025527378015,9.889860933577468,69.38039434020268,9
OPUSDT-CAKEUSDT,OPUSDT,CAKEUSDT,-1,2024-07-09 16:00:00+00:00,2024-07-09 20:00:00+00:00,1.0522012218118633,-1491.1224069635057,1449.5531950579802,1.581,1.823,1.619,1.811,3.2951347834923923,4.585866515860419,stop_divergence,-74.05728980530904,10.039268013123918,-84.09655781843296,1
ORDIUSDT-FILUSDT,ORDIUSDT,FILUSDT,1,2024-07-06 20:00:00+00:00,2024-07-10 08:00:00+00:00,1.2250068047997429,63.76969159211694,-769.4558666753339,30.42,3.977,32.17,3.88,-2.2344773879679938,-0.3240750574831856,target,186.23417935371202,10.036959741218698,176.1972196124933,21
LINKUSDT-BCHUSDT,LINKUSDT,BCHUSDT,-1,2024-07-08 04:00:00+00:00,2024-07-10 20:00:00+00:00,0.8172579582985651,-209.7766134241036,7.509787676868916,12.594,314.0,12.79,340.3,2.2687870444804843,0.42105985432827747,target,156.39119967052832,10.238623632132777,146.15257603839555,16
BNBUSDT-LINKUSDT,BNBUSDT,LINKUSDT,1,2024-07-07 08:00:00+00:00,2024-07-11 04:00:00+00:00,0.7315684772772401,6.2873248303155505,-140.34726640324686,508.7,12.837,527.5,12.827,-2.0229618654525443,-0.5982505475746166,screen_failed,119.60517947396485,10.1167982341459,109.48838123981895,23
DOGEUSDT-LINKUSDT,DOGEUSDT,LINKUSDT,1,2024-07-08 04:00:00+00:00,2024-07-11 04:00:00+00:00,1.16124658711156,21960.18023617371,-215.25097762277696,0.10424,12.594,0.10896,12.827,-2.01701809438565,-0.8210045435352745,screen_failed,53.49857292863281,10.153805528500847,43.344767400131964,18
